timestamp,scenario,inlet_flow_lph,post_treatment_flow_lph,rinse_flow_lph,cip_flow_lph,production_lph,conductivity_uS_cm,turbidity_NTU,temperature_C,cip_active,shift,line_status,wur,total_out,balance_error
2025-01-01 00:00:00,baseline,1441.98,1281.69,192.19,0,710.43,243.85,0.58,23.7,0,night,running,2.03,1473.88,0.02212235953341939
2025-01-01 00:05:00,baseline,1422.77,1192.54,191.02,0,716.12,242.72,0.62,19.9,0,night,running,1.987,1383.56,0.02755891676096631
2025-01-01 00:10:00,baseline,1417.39,1216.14,173.76,0,663.78,240.55,0.47,23.6,0,night,running,2.135,1389.9,0.01939480312405196
2025-01-01 00:15:00,baseline,1453.92,1215.65,169.19,0,695.26,245.54,0.5,22.4,0,night,running,2.091,1384.8400000000001,0.04751293056014081
2025-01-01 00:20:00,baseline,1433.08,1285.81,178.32,0,687.39,244.93,0.5,22.9,0,night,running,2.085,1464.1299999999999,0.021666620146816615
2025-01-01 00:25:00,baseline,1462.11,1193.28,163.25,0,674.36,245.96,0.67,22.2,0,night,running,2.168,1356.53,0.07221070918056777
2025-01-01 00:30:00,baseline,1432.54,1191.36,168.59,0,697.57,242.74,0.7,22.4,0,night,running,2.054,1359.9499999999998,0.05067223253800951
2025-01-01 00:35:00,baseline,1468.8,1223.12,180.73,0,662.98,248.0,0.69,23.0,0,night,running,2.215,1403.85,0.044219771241830096
2025-01-01 00:40:00,baseline,1432.07,1252.88,188.68,0,682.38,242.65,0.58,20.8,0,night,running,2.099,1441.5600000000002,0.006626771037728768
2025-01-01 00:45:00,baseline,1497.13,1269.81,200.05,0,674.88,249.92,0.63,21.3,0,night,running,2.218,1469.86,0.018214851081736528
2025-01-01 00:50:00,baseline,1539.21,1369.74,184.6,0,707.59,232.16,0.67,22.1,0,night,running,2.175,1554.34,0.009829717842269659
2025-01-01 00:55:00,baseline,1455.32,1228.87,162.94,0,693.72,246.75,0.73,21.4,0,night,running,2.098,1391.81,0.04363988676030014
2025-01-01 01:00:00,baseline,1420.9,1219.67,195.16,0,683.02,242.4,0.65,22.1,0,night,running,2.08,1414.8300000000002,0.004271940319515755
2025-01-01 01:05:00,baseline,1409.28,1183.8,181.36,0,720.34,237.83,0.63,22.3,0,night,running,1.956,1365.1599999999999,0.03130676657584023
2025-01-01 01:10:00,baseline,1436.39,1205.53,169.29,0,700.11,243.32,0.53,21.8,0,night,running,2.052,1374.82,0.04286440312171497
2025-01-01 01:15:00,baseline,1559.4,1335.73,186.94,0,708.49,244.64,0.43,22.0,0,night,running,2.201,1522.67,0.02355393099910223
2025-01-01 01:20:00,baseline,1592.87,1366.19,182.86,0,701.26,244.83,0.49,23.3,0,night,running,2.271,1549.0500000000002,0.027510091846792088
2025-01-01 01:25:00,baseline,1495.88,1325.01,174.91,0,715.79,238.13,0.65,24.4,0,night,running,2.09,1499.92,0.0027007513971708716
2025-01-01 01:30:00,baseline,1417.15,1186.39,186.11,0,679.2,237.4,0.61,20.8,0,night,running,2.087,1372.5,0.03150689764668531
2025-01-01 01:35:00,baseline,1396.67,1159.28,202.2,0,709.95,243.42,0.67,20.6,0,night,running,1.967,1361.48,0.025195643924477543
